height, node1-size, node2-size
1, 268, 272
2, 292, 296
3, 328, 324
4, 352, 356
5, 384, 356
6, 404, 388
7, 444, 408
8, 472, 472
9, 508, 500
10, 532, 508
11, 564, 532
12, 584, 584
13, 604, 584
14, 644, 616
15, 664, 672
16, 696, 700
17, 720, 728
18, 748, 728
19, 776, 784
20, 808, 816
21, 836, 840
22, 864, 864
23, 888, 892
24, 920, 920
25, 944, 948
26, 972, 948
27, 1000, 976
28, 1032, 1004
29, 1052, 1052
30, 1080, 1088
31, 1112, 1116
32, 1132, 1116
33, 1164, 1168
34, 1192, 1200
35, 1220, 1220
36, 1248, 1220
37, 1280, 1284
38, 1300, 1308
39, 1332, 1336
40, 1356, 1364
41, 1388, 1392
42, 1412, 1420
43, 1444, 1448
44, 1468, 1476
45, 1496, 1476
46, 1520, 1532
47, 1552, 1560
48, 1580, 1588
49, 1604, 1588
50, 1636, 1644
51, 1656, 1664
52, 1688, 1692
53, 1716, 1728
54, 1748, 1728
55, 1768, 1780
56, 1800, 1804
57, 1824, 1836
58, 1852, 1836
59, 1880, 1892
60, 1912, 1920
61, 1936, 1944
62, 1968, 1972
63, 1992, 1972
64, 2024, 2000
65, 2048, 2060
66, 2076, 2084
67, 2104, 2096
68, 2124, 2136
69, 2156, 2172
70, 2184, 2200
71, 2212, 2224
72, 2236, 2228
73, 2268, 2280
74, 2292, 2304
75, 2320, 2332
76, 2352, 2332
77, 2384, 2396
78, 2404, 2416
79, 2436, 2416
80, 2460, 2476
81, 2492, 2504
82, 2516, 2532
83, 2544, 2556
84, 2572, 2592
85, 2592, 2612
86, 2628, 2640
87, 2656, 2672
88, 2684, 2700
89, 2708, 2728
90, 2740, 2756
91, 2764, 2784
92, 2796, 2816
93, 2820, 2840
94, 2852, 2844
95, 2872, 2892
96, 2908, 2928
97, 2932, 2952
98, 2968, 2980
99, 2988, 3008
100, 3012, 3040
101, 3048, 3068
102, 3068, 3096
103, 3100, 3128
104, 3132, 3160
105, 3164, 3188
106, 3184, 3188
107, 3220, 3244
108, 3244, 3272
109, 3280, 3304
110, 3304, 3304
111, 3336, 3364
112, 3360, 3392
113, 3392, 3424
114, 3420, 3448
115, 3456, 3484
116, 3480, 3508
117, 3512, 3540
118, 3536, 3572
119, 3560, 3572
120, 3592, 3628
121, 3624, 3660
122, 3656, 3692
123, 3676, 3696
124, 3712, 3744
125, 3736, 3780
126, 3772, 3808
127, 3796, 3840
128, 3832, 3840
129, 3856, 3900
130, 3884, 3924
131, 3912, 3956
132, 3948, 3960
133, 3968, 4016
134, 4004, 4044
135, 4028, 4076
136, 4056, 4100
137, 4088, 4140
138, 4116, 4164
139, 4148, 4196
140, 4172, 4224
141, 4204, 4228
142, 4228, 4284
143, 4264, 4316
144, 4288, 4344
145, 4324, 4376
146, 4348, 4404
147, 4380, 4432
148, 4408, 4468
149, 4444, 4496
150, 4464, 4496
151, 4500, 4552
152, 4524, 4588
153, 4560, 4616
154, 4584, 4616
155, 4616, 4676
156, 4644, 4708
157, 4672, 4736
158, 4700, 4764
159, 4732, 4800
160, 4760, 4828
161, 4788, 4860
162, 4820, 4888
163, 4848, 4916
164, 4876, 4948
165, 4908, 4980
166, 4940, 4980
167, 4964, 5036
168, 4996, 5072
169, 5020, 5100
170, 5056, 5132
171, 5080, 5136
172, 5116, 5192
173, 5140, 5224
174, 5172, 5248
175, 5196, 5248
176, 5232, 5316
177, 5260, 5344
178, 5284, 5372
179, 5316, 5404
180, 5344, 5432
181, 5372, 5464
182, 5404, 5496
183, 5436, 5528
184, 5460, 5552
185, 5492, 5588
186, 5520, 5616
187, 5556, 5648
188, 5580, 5652
189, 5612, 5708
190, 5636, 5740
191, 5668, 5740
192, 5692, 5792
193, 5732, 5832
194, 5756, 5860
195, 5788, 5892
196, 5812, 5892
197, 5840, 5956
198, 5868, 5976
199, 5900, 6008
200, 5932, 6028
201, 5960, 6072
202, 5988, 6104
203, 6012, 6132
204, 6052, 6164
205, 6072, 6164
206, 6108, 6224
207, 6132, 6256
208, 6164, 6284
209, 6188, 6284
210, 6228, 6348
211, 6252, 6380
212, 6284, 6408
213, 6308, 6436
214, 6340, 6472
215, 6368, 6500
216, 6400, 6536
217, 6428, 6536
218, 6456, 6600
219, 6484, 6620
220, 6508, 6656
221, 6548, 6656
222, 6568, 6716
223, 6604, 6748
224, 6628, 4860
225, 6664, 4888
226, 6688, 4892
227, 6724, 4956
228, 6748, 4988
229, 6780, 5012
230, 6804, 5048
231, 6840, 5076
232, 6868, 5112
233, 5040, 5140
234, 5064, 5168
235, 5096, 5204
236, 5120, 5228
237, 5156, 5264
238, 5188, 5296
239, 5212, 5300
240, 5244, 5352
241, 5272, 5384
242, 5304, 5416
243, 5332, 5420
244, 5364, 5476
245, 5392, 5512
246, 5420, 5540
247, 5448, 5540
248, 5480, 5576
249, 5508, 5640
250, 5540, 5664
251, 5564, 5700
252, 5600, 5704
253, 5620, 5760
254, 5660, 5792
255, 5684, 5828
256, 5712, 5828
257, 5740, 5880
258, 5768, 5912
259, 5800, 5944
260, 5828, 5976
261, 5860, 5976
262, 5888, 6040
263, 5916, 6040
264, 5944, 6096
265, 5980, 6096
266, 6008, 6164
