height, node1-size, node2-size
1, 268, 216
2, 296, 224
3, 328, 300
4, 356, 328
5, 384, 384
6, 404, 408
7, 440, 444
8, 472, 444
9, 492, 472
10, 532, 524
11, 556, 556
12, 588, 556
13, 612, 584
14, 644, 640
15, 668, 668
16, 700, 700
17, 724, 724
18, 760, 756
19, 780, 780
20, 812, 804
21, 836, 812
22, 868, 868
23, 888, 868
24, 924, 888
25, 948, 928
26, 968, 972
27, 1000, 1000
28, 1024, 1000
29, 1056, 1028
30, 1084, 1088
31, 1116, 1112
32, 1136, 1140
33, 1168, 1140
34, 1188, 1164
35, 1228, 1196
36, 1252, 1224
37, 1284, 1280
38, 1308, 1280
39, 1336, 1332
40, 1360, 1356
41, 1392, 1392
42, 1416, 1412
43, 1440, 1412
44, 1472, 1444
45, 1492, 1492
46, 1528, 1524
47, 1552, 1552
48, 1584, 1552
49, 1604, 1580
50, 1636, 1628
51, 1664, 1636
52, 1696, 1688
53, 1720, 1688
54, 1752, 1744
55, 1772, 1772
56, 1804, 1796
57, 1832, 1828
58, 1860, 1828
59, 1884, 1880
60, 1908, 1904
61, 1940, 1908
62, 1960, 1960
63, 2000, 1960
64, 2024, 2020
65, 2052, 2044
66, 2076, 2044
67, 2108, 2072
68, 2128, 2124
69, 2164, 2124
70, 2188, 2184
71, 2220, 2208
72, 2240, 2232
73, 2272, 2260
74, 2300, 2292
75, 2328, 2296
76, 2352, 2344
77, 2380, 2372
78, 2412, 2372
79, 2432, 2404
80, 2468, 2424
81, 2492, 2484
82, 2520, 2508
83, 2540, 2512
84, 2576, 2536
85, 2600, 2592
86, 2632, 2616
87, 2660, 2652
88, 2692, 2676
89, 2712, 2676
90, 2744, 2700
91, 2772, 2760
92, 2800, 2780
93, 2824, 2780
94, 2852, 2836
95, 2880, 2868
96, 2900, 2888
97, 2940, 2888
98, 2964, 2952
99, 2992, 2956
100, 3016, 3004
101, 3048, 3036
102, 3080, 3068
103, 3112, 3068
104, 3136, 3104
105, 3172, 3156
106, 3192, 3160
107, 3224, 3180
108, 3256, 3244
109, 3288, 3244
110, 3312, 3300
111, 3344, 3328
112, 3372, 3360
113, 3392, 3360
114, 3428, 3384
115, 3456, 3416
116, 3488, 3472
117, 3512, 3504
118, 3544, 3528
119, 3564, 3528
120, 3604, 3588
121, 3628, 3592
122, 3664, 3616
123, 3688, 3652
124, 3724, 3676
125, 3748, 3712
126, 3784, 3768
127, 3804, 3772
128, 3836, 3816
129, 3864, 3852
130, 3892, 3880
131, 3924, 3912
132, 3948, 3912
133, 3980, 3964
134, 4004, 3996
135, 4036, 4020
136, 4068, 4060
137, 4096, 4060
138, 4124, 4112
139, 4156, 4140
140, 4184, 4172
141, 4216, 4172
142, 4244, 4200
143, 4276, 4232
144, 4300, 4260
145, 4332, 4316
146, 4360, 4348
147, 4396, 4348
148, 4420, 4376
149, 4448, 4436
150, 4480, 4468
151, 4504, 4468
152, 4540, 4528
153, 4564, 4552
154, 4592, 4580
155, 4620, 4608
156, 4652, 4640
157, 4680, 4640
158, 4712, 4692
159, 4740, 4728
160, 4772, 4752
161, 4796, 4784
162, 4828, 4784
163, 4860, 4820
164, 4892, 4872
165, 4916, 4900
166, 4948, 4904
167, 4976, 4928
168, 5004, 4960
169, 5036, 5020
170, 5060, 5048
171, 5096, 5048
172, 5120, 5096
173, 5152, 5136
174, 5176, 5160
175, 5212, 5196
176, 5236, 5220
177, 5272, 5220
178, 5292, 5276
179, 5328, 5308
180, 5356, 5340
181, 5392, 5372
182, 5412, 5372
183, 5444, 5396
184, 5472, 5452
185, 5500, 5480
186, 5532, 5480
187, 5564, 5544
188, 5592, 5544
189, 5616, 5576
190, 5648, 5628
191, 5656, 5628
192, 5708, 5664
193, 5736, 5720
194, 5768, 5748
195, 5792, 5748
196, 5824, 5780
197, 5852, 5808
198, 5888, 5868
199, 5908, 5888
200, 5940, 5916
201, 5968, 5948
202, 6004, 5948
203, 6028, 6004
204, 6060, 6036
205, 6088, 6068
206, 6116, 6092
207, 6144, 6092
208, 6176, 6156
209, 6204, 6180
210, 6232, 6208
211, 6264, 6240
212, 6292, 6268
213, 6320, 6268
214, 6348, 6296
215, 6384, 6360
216, 6404, 6384
217, 6440, 6412
218, 6464, 6444
219, 6500, 6472
220, 6524, 6472
221, 6556, 6504
222, 6584, 6528
223, 6616, 6588
224, 6640, 6588
225, 6676, 6648
226, 6704, 6680
227, 6732, 6704
228, 6760, 6736
229, 6788, 6760
230, 6820, 6796
231, 6848, 6796
232, 6880, 6820
233, 5048, 6860
234, 5080, 5052
235, 5104, 5080
236, 5144, 5116
237, 5164, 5140
238, 5200, 5140
239, 5224, 5176
240, 5260, 5228
241, 5288, 5260
242, 5324, 5260
243, 5348, 5320
244, 5380, 5344
245, 5404, 5348
246, 5440, 5376
247, 5464, 5408
248, 5496, 5468
249, 5524, 5500
250, 5556, 5528
251, 5564, 5528
252, 5612, 5552
253, 5644, 5588
254, 5664, 5632
255, 5700, 5672
256, 5724, 5696
257, 5756, 5728
258, 5784, 5756
259, 5820, 5760
260, 5844, 5816
261, 5876, 5844
262, 5900, 5872
263, 5936, 5904
264, 5960, 5904
265, 5996, 5932
266, 6024, 5964
267, 6052, 5996
268, 6080, 6028
269, 6112, 6084
270, 6144, 6088
271, 6168, 6116
272, 6200, 6172
273, 6228, 6196
274, 6260, 6204
275, 6284, 6232
276, 6320, 6264
277, 6344, 6324
278, 6376, 6348
279, 6400, 6352
280, 6440, 6380
281, 6468, 6416
282, 6496, 6444
283, 6524, 6472
284, 6552, 6528
285, 6580, 6532
286, 6616, 6556
287, 6644, 6596
288, 6676, 6620
289, 6700, 6676
290, 6732, 6684
291, 6768, 6712
292, 6792, 6748
293, 6824, 6772
294, 6852, 6804
295, 6884, 6860
296, 6904, 6864
297, 6944, 6888
298, 6972, 6920
299, 7000, 6956
300, 7028, 7012
301, 7060, 7044
302, 7092, 7044
303, 7120, 7104
304, 7148, 7104
305, 7180, 7132
306, 7208, 7192
307, 7240, 7224
308, 7272, 7224
309, 7296, 7260
310, 7328, 7280
311, 7360, 7316
312, 7388, 7376
313, 7420, 7376
314, 7448, 7436
315, 7480, 7436
316, 7508, 7464
317, 7532, 7496
318, 7572, 7560
319, 7596, 7560
320, 7624, 7584
321, 7656, 7612
322, 7688, 7644
323, 7724, 7676
324, 7744, 7676
325, 7780, 7768
326, 7808, 7772
327, 7840, 7800
328, 7868, 7832
329, 7900, 7892
330, 7928, 7892
331, 7956, 7920
332, 7988, 7952
333, 8020, 7980
334, 8052, 8016
335, 8076, 8072
336, 8112, 8080
337, 8144, 8136
338, 8176, 8168
339, 8200, 8168
340, 8232, 8192
341, 8260, 8248
342, 8288, 8284
343, 8320, 8312
344, 8352, 8344
345, 8384, 8352
346, 8408, 8400
347, 8440, 8432
348, 8472, 8464
349, 8500, 8492
350, 8532, 8524
351, 8564, 8552
352, 8588, 8552
353, 8620, 8584
354, 8656, 8644
355, 8684, 8672
356, 8708, 8700
357, 8744, 8732
358, 8768, 8760
359, 8800, 8760
360, 8832, 8788
361, 8864, 8852
362, 8892, 8884
363, 8920, 8912
364, 8948, 8940
365, 8984, 8940
366, 9012, 8980
367, 9040, 9004
368, 9072, 9064
369, 9104, 9068
370, 9128, 9120
371, 9164, 9152
372, 9192, 9180
373, 9220, 9180
374, 9252, 9240
375, 9280, 9268
376, 9312, 9296
377, 9340, 9332
378, 9372, 9332
379, 9400, 9356
380, 9432, 9396
381, 9460, 9448
382, 9492, 9480
383, 9520, 9508
384, 9552, 9540
385, 9580, 9540
386, 9612, 9596
387, 9640, 9628
388, 9672, 9656
389, 9704, 9692
390, 9732, 9716
391, 9756, 9716
392, 9792, 9748
393, 9828, 9780
394, 9852, 9816
395, 9884, 9868
396, 9916, 9900
397, 9944, 9928
398, 9968, 9928
399, 10008, 9956
400, 10036, 10020
401, 10060, 10024
402, 10092, 10076
403, 10120, 10108
404, 10152, 10136
405, 10172, 10136
406, 10212, 10164
407, 10240, 10196
408, 10268, 10252
409, 10300, 10252
410, 10332, 10316
411, 10360, 10344
412, 10392, 10372
413, 10420, 10376
414, 10448, 10428
415, 10480, 10460
416, 10512, 10492
417, 10540, 10524
418, 10568, 10548
419, 10596, 10548
420, 10632, 10608
421, 10656, 10636
422, 10688, 10672
423, 10720, 10672
424, 10752, 10736
425, 10776, 10756
426, 10808, 10792
427, 10844, 10824
428, 10868, 10852
429, 10900, 10880
430, 10928, 10912
431, 10956, 10936
432, 10992, 10972
433, 11024, 11004
434, 11056, 11036
435, 11080, 11040
436, 11112, 11060
437, 11144, 11096
438, 11172, 11124
439, 11204, 11184
440, 11232, 11216
441, 11260, 11244
