height, node1-size, node2-size
2, 296, 272
3, 328, 300
4, 352, 352
5, 384, 384
6, 404, 408
7, 440, 440
9, 508, 500
10, 532, 560
11, 560, 596
12, 584, 616
13, 612, 656
15, 668, 680
16, 696, 704
17, 720, 756
18, 752, 788
20, 808, 812
21, 836, 924
22, 864, 948
23, 888, 976
24, 920, 1004
26, 976, 1028
27, 1000, 1060
28, 1028, 1120
29, 1052, 1140
31, 1112, 1252
32, 1132, 1252
33, 1168, 1280
34, 1192, 1336
35, 1220, 1360
36, 1248, 1392
38, 1300, 1416
39, 1332, 1444
40, 1356, 1556
41, 1388, 1580
42, 1412, 1608
44, 1468, 1640
45, 1496, 1664
46, 1524, 1712
47, 1552, 1744
48, 1580, 1772
49, 1604, 1804
50, 1636, 1880
51, 1660, 1904
52, 1688, 1932
53, 1720, 1964
54, 1748, 1992
56, 1800, 2044
57, 1824, 2076
58, 1856, 2100
59, 1884, 2128
60, 1916, 2208
61, 1936, 2208
62, 1968, 2264
63, 1992, 2292
64, 2020, 2316
65, 2048, 2348
66, 2072, 2372
68, 2124, 2424
69, 2156, 2452
70, 2184, 2540
71, 2212, 2560
72, 2236, 2592
73, 2268, 2616
74, 2296, 2648
75, 2328, 2672
76, 2352, 2700
77, 2384, 2728
79, 2436, 2752
80, 2460, 2784
81, 2488, 2892
82, 2516, 2920
83, 2540, 2920
84, 2576, 2948
85, 2596, 3000
86, 2628, 3028
87, 2656, 3060
89, 2708, 3092
90, 2740, 3196
91, 2764, 3220
92, 2796, 3252
93, 2824, 3276
94, 2856, 3308
95, 2876, 3328
96, 2908, 3360
97, 2936, 3388
98, 2972, 3420
99, 2988, 3444
100, 3020, 3524
102, 3068, 3556
104, 3132, 3612
106, 3188, 3696
107, 3220, 3724
108, 3248, 3752
109, 3280, 3784
110, 3304, 3872
111, 3340, 3904
112, 3364, 3928
113, 3396, 3956
114, 3420, 3984
115, 3460, 4020
116, 3480, 4044
117, 3508, 4076
118, 3540, 4104
119, 3560, 4128
120, 3600, 4220
122, 3656, 4252
123, 3680, 4304
124, 3712, 4336
125, 3740, 4364
126, 3772, 4392
127, 3800, 4424
129, 3856, 4452
