height, node1-size, node2-size
1, 268, 216
2, 296, 224
3, 328, 300
4, 356, 356
5, 384, 384
6, 404, 408
7, 444, 440
9, 492, 472
10, 532, 532
11, 556, 560
13, 612, 612
14, 644, 640
15, 668, 668
16, 700, 696
18, 760, 720
19, 780, 780
20, 816, 808
22, 868, 864
23, 888, 888
24, 924, 920
26, 968, 972
27, 1000, 996
28, 1028, 1028
29, 1056, 1048
30, 1084, 1068
31, 1116, 1112
33, 1168, 1144
34, 1192, 1196
35, 1228, 1228
36, 1248, 1252
37, 1280, 1276
38, 1308, 1308
39, 1336, 1332
40, 1360, 1360
41, 1396, 1388
42, 1416, 1412
44, 1472, 1440
45, 1492, 1464
46, 1524, 1492
47, 1552, 1552
48, 1584, 1580
49, 1604, 1604
50, 1636, 1632
51, 1660, 1660
52, 1692, 1688
53, 1716, 1716
54, 1752, 1740
56, 1804, 1768
57, 1828, 1792
58, 1860, 1848
59, 1884, 1876
60, 1916, 1904
61, 1940, 1936
62, 1964, 1960
63, 1996, 1992
64, 2020, 2020
65, 2048, 2044
66, 2076, 2068
67, 2108, 2100
68, 2132, 2120
70, 2188, 2180
71, 2220, 2180
72, 2240, 2232
74, 2292, 2256
75, 2328, 2288
76, 2352, 2312
77, 2384, 2372
78, 2408, 2400
79, 2432, 2424
80, 2464, 2456
82, 2520, 2480
83, 2556, 2536
85, 2596, 2564
86, 2632, 2620
87, 2656, 2648
88, 2692, 2676
89, 2712, 2700
90, 2744, 2732
91, 2768, 2756
92, 2800, 2784
93, 2824, 2812
94, 2856, 2840
96, 2904, 2868
97, 2936, 2892
98, 2964, 2952
99, 2988, 2980
100, 3020, 3008
101, 3048, 3032
102, 3076, 3064
103, 3108, 3096
104, 3136, 3124
105, 3168, 3152
106, 3192, 3180
107, 3224, 3208
109, 3284, 3244
110, 3308, 3268
111, 3344, 3328
112, 3368, 3352
113, 3400, 3384
114, 3428, 3412
115, 3460, 3444
116, 3484, 3468
117, 3512, 3500
118, 3544, 3528
119, 3572, 3560
121, 3628, 3584
122, 3660, 3644
123, 3684, 3672
124, 3716, 3700
125, 3748, 3732
126, 3780, 3764
127, 3800, 3788
128, 3836, 3816
129, 3860, 3848
130, 3892, 3868
131, 3920, 3904
132, 3952, 3932
134, 4004, 3968
135, 4036, 4016
136, 4068, 4052
137, 4096, 4076
138, 4124, 4108
139, 4152, 4132
140, 4180, 4164
141, 4208, 4188
142, 4240, 4228
144, 4296, 4280
145, 4328, 4280
146, 4356, 4340
147, 4388, 4368
148, 4416, 4396
149, 4448, 4428
150, 4476, 4456
151, 4504, 4484
152, 4532, 4512
153, 4564, 4548
155, 4616, 4572
156, 4652, 4600
157, 4680, 4660
158, 4708, 4684
159, 4736, 4720
160, 4772, 4748
161, 4792, 4776
162, 4828, 4804
163, 4856, 4832
164, 4888, 4868
165, 4916, 4896
167, 4972, 4924
168, 5004, 4980
169, 5032, 5012
170, 5068, 5044
171, 5088, 5044
172, 5120, 5072
173, 5148, 5096
174, 5180, 5156
175, 5208, 5184
176, 5240, 5216
177, 5268, 5248
178, 5300, 5272
180, 5352, 5304
181, 5388, 5368
182, 5412, 5392
183, 5444, 5396
184, 5468, 5452
185, 5500, 5480
186, 5536, 5512
187, 5564, 5540
189, 5620, 5596
190, 5644, 5624
191, 5676, 5656
192, 5704, 5684
193, 5736, 5716
194, 5764, 5744
195, 5792, 5772
196, 5820, 5796
197, 5856, 5836
198, 5884, 5860
199, 5912, 5892
201, 5964, 5916
202, 5996, 5944
203, 6024, 5972
204, 6060, 6036
205, 6084, 6064
206, 6116, 6092
207, 6140, 6116
209, 6200, 6152
210, 6232, 6208
211, 6260, 6212
212, 6292, 6268
213, 6316, 6292
214, 6352, 6324
215, 6380, 6356
216, 6408, 6380
217, 6436, 6408
218, 6464, 6440
219, 6496, 6468
220, 6528, 6500
222, 6584, 6532
223, 6612, 6584
224, 6636, 6616
225, 6676, 6648
226, 6696, 6676
227, 6732, 6700
228, 6756, 6732
229, 6792, 6760
231, 6848, 6788
232, 6876, 6820
233, 5048, 6852
234, 5076, 5060
235, 5108, 5084
236, 5144, 5124
237, 5172, 5124
238, 5200, 5148
239, 5232, 5184
240, 5256, 5236
241, 5288, 5264
242, 5320, 5300
243, 5352, 5328
244, 5376, 5352
245, 5400, 5380
246, 5436, 5408
247, 5460, 5444
248, 5496, 5468
249, 5524, 5500
251, 5572, 5524
252, 5608, 5580
253, 5640, 5620
254, 5668, 5640
255, 5696, 5676
256, 5728, 5700
257, 5752, 5732
258, 5788, 5760
259, 5816, 5796
260, 5848, 5820
262, 5904, 5844
263, 5932, 5876
264, 5964, 5912
265, 5996, 5968
266, 6020, 5992
267, 6056, 6028
268, 6076, 6048
269, 6108, 6084
270, 6140, 6112
271, 6168, 6144
272, 6196, 6168
274, 6252, 6200
275, 6288, 6232
276, 6316, 6292
277, 6348, 6316
278, 6372, 6344
279, 6404, 6372
280, 6436, 6404
281, 6464, 6432
282, 6496, 6464
283, 6524, 6492
284, 6556, 6524
285, 6580, 6544
286, 6616, 6584
288, 6672, 6608
289, 6696, 6640
290, 6728, 6696
291, 6756, 6724
292, 6788, 6724
293, 6816, 6784
294, 6848, 6816
295, 6872, 6840
296, 6904, 6872
297, 6940, 6904
299, 6996, 6932
300, 7024, 6992
301, 7052, 7016
302, 7080, 7048
303, 7116, 7080
304, 7144, 7112
305, 7172, 7136
306, 7200, 7164
307, 7232, 7196
309, 7288, 7224
310, 7316, 7256
311, 7348, 7316
312, 7372, 7340
313, 7404, 7368
314, 7436, 7404
315, 7468, 7432
316, 7496, 7460
317, 7524, 7488
318, 7556, 7520
320, 7588, 7544
321, 7644, 7576
322, 7672, 7632
323, 7700, 7664
324, 7732, 7692
325, 7764, 7728
326, 7792, 7752
327, 7820, 7780
328, 7848, 7812
329, 7872, 7836
330, 7904, 7868
332, 7968, 7900
333, 7992, 7956
334, 8024, 7984
335, 8056, 8016
336, 8084, 8044
337, 8116, 8044
338, 8144, 8104
339, 8176, 8132
340, 8200, 8160
342, 8256, 8188
343, 8292, 8248
344, 8320, 8280
345, 8352, 8308
346, 8376, 8332
347, 8412, 8368
348, 8440, 8396
349, 8468, 8428
350, 8492, 8452
351, 8524, 8484
352, 8556, 8512
353, 8584, 8544
355, 8644, 8572
356, 8676, 8600
357, 8700, 8632
358, 8732, 8688
359, 8764, 8720
360, 8796, 8748
362, 8852, 8776
363, 8880, 8836
364, 8912, 8864
365, 8944, 8896
366, 8972, 8924
367, 9000, 8952
368, 9024, 8980
369, 9060, 9008
370, 9088, 9044
371, 9116, 9068
373, 9176, 9104
374, 9200, 9160
375, 9236, 9188
376, 9264, 9220
377, 9292, 9244
378, 9324, 9276
379, 9352, 9304
380, 9384, 9336
381, 9412, 9364
382, 9444, 9396
383, 9472, 9420
384, 9500, 9452
386, 9560, 9476
387, 9588, 9544
388, 9620, 9564
389, 9644, 9600
390, 9676, 9624
391, 9704, 9656
392, 9740, 9684
393, 9768, 9720
394, 9796, 9744
395, 9824, 9776
396, 9852, 9800
397, 9884, 9832
399, 9940, 9860
400, 9972, 9892
401, 10000, 9920
403, 10044, 9976
404, 10092, 10012
405, 10116, 10064
406, 10148, 10096
407, 10176, 10124
408, 10200, 10124
409, 10236, 10184
410, 10264, 10216
411, 10292, 10244
412, 10320, 10272
413, 10352, 10304
414, 10384, 10336
415, 10408, 10360
416, 10440, 10392
417, 10472, 10420
419, 10524, 10476
420, 10560, 10504
421, 10588, 10540
422, 10616, 10560
423, 10644, 10596
424, 10676, 10620
425, 10704, 10656
426, 10736, 10680
427, 10760, 10708
428, 10796, 10740
430, 10848, 10764
431, 10880, 10828
432, 10904, 10852
433, 10936, 10880
434, 10964, 10912
435, 10996, 10940
436, 11020, 10968
437, 11056, 11000
438, 11084, 11032
439, 11112, 11056
440, 11140, 11056
442, 11196, 11116
443, 11232, 11172
444, 11260, 11208
445, 11292, 11236
446, 11312, 11240
447, 11352, 11292
448, 11376, 11328
449, 11412, 11352
450, 11432, 11384
452, 11492, 11444
453, 11524, 11468
454, 11552, 11500
455, 9768, 11528
456, 9796, 9748
457, 9824, 9776
458, 9852, 9800
459, 9896, 9836
460, 9896, 9840
461, 12012, 9868
462, 9692, 9640
463, 9716, 9672
464, 9752, 9696
465, 9780, 9736
466, 9812, 9760
467, 9836, 9788
468, 9868, 9816
469, 9900, 9852
470, 9932, 9884
471, 9956, 9912
473, 10016, 9936
474, 10052, 9972
475, 10076, 10032
476, 10112, 10060
477, 10136, 10088
478, 10164, 10116
479, 10192, 10144
480, 10224, 10180
481, 10252, 10204
483, 10312, 10232
484, 10340, 10292
485, 10372, 10320
486, 10400, 10352
